gene_id,replicate1 24h,replicate2 24h,replicate1 48h,replicate2 48h,mock,24h mean,48h mean,mock mean,24h norm,48h norm,mock norm,fold-change 24h,fold-change 48h
ABLIM3,45,31,24,56,7,38.0,40.0,7.0,0.001077891870426051,0.001072817486925037,0.00039494470774091627,-12.664926746462648,-12.671734548243844
ABO,1000,1010,374,507,40,1005.0,440.5,40.0,0.028507403415215293,0.011814402574761969,0.0022568269013766643,-10.454447646669703,-11.725237607040551
ABR,4171,3657,2340,2470,826,3914.0,2405.0,826.0,0.11102286265388325,0.06450315140136784,0.04660347551342812,-12.861069268641273,-13.644484513835645
ABRA,0,2,0,0,1,1.0,0.0,1.0,2.8365575537527657e-05,0.0,5.642067253441661e-05,-15.105499337848629,inf
ABRACL,1023,844,923,750,2729,933.5,836.5,2729.0,0.026479264764282067,0.022435295695319834,0.15397201534642294,-16.653149804896568,-16.89224267030939
ABRAXAS1,503,820,220,267,443,661.5,243.5,443.0,0.018763828218074544,0.006530776451656162,0.02499435793274656,-14.527064880124973,-16.049692647546276
ABRAXAS2,927,1167,785,797,1582,1047.0,791.0,1582.0,0.029698757587791457,0.021214965803942606,0.08925750394944708,-15.700987495390615,-16.1863077210736
ABT1,1463,879,1162,974,966,1171.0,1068.0,966.0,0.03321608895444489,0.028644226900898486,0.054502369668246446,-14.827853356183189,-15.041491168221821
ABTB1,835,552,610,491,180,693.5,550.5,180.0,0.01967152663527543,0.01476465066380582,0.010155721056194989,-13.159600361854702,-13.573562063838908
ABTB2,82,51,56,85,35,66.5,70.5,35.0,0.001886310773245589,0.0018908408207053775,0.0019747235387045812,-14.179499919292407,-14.176039385619776
ACAA1,2301,1528,1960,1585,1336,1914.5,1772.5,1336.0,0.0543058943665967,0.0475392248893657,0.0753780185059806,-14.586451685472522,-14.778442101420774
ACAA2,566,571,489,414,1099,568.5,451.5,1099.0,0.016125829693084473,0.012109427383666355,0.06200631911532385,-16.056458469905614,-16.469701214541974
ACACA,3713,4731,2093,2388,1797,4222.0,2240.5,1797.0,0.11975945991944177,0.06009118948638863,0.10138794854434664,-13.873163168011416,-14.86807740343104
ACACB,1082,1296,627,689,659,1189.0,658.0,659.0,0.03372666931412038,0.017647847659916855,0.037181223200180545,-14.254100993111026,-15.188498602346412
ACAD10,1413,1277,924,855,352,1345.0,889.5,352.0,0.038151699097974695,0.023856778865495507,0.019860076732114647,-13.17154049904194,-13.84888854444374
ACAD11,1176,1321,833,716,985,1248.5,774.5,985.0,0.035414421058603276,0.020772428590586027,0.05557436244640036,-14.763499146264158,-15.533166206627772
ACAD8,1467,1466,1030,906,1701,1466.5,968.0,1701.0,0.04159811652578431,0.025962183183585893,0.09597156398104266,-15.31950540775506,-15.999611909462391
ACAD9,1443,1138,831,902,538,1290.5,866.5,538.0,0.036605775231179444,0.02323990881051361,0.030354321823516137,-13.843247274311285,-14.498714144470057
ACADL,164,171,84,82,226,167.5,83.0,226.0,0.0047512339025358825,0.0022260962853694515,0.012751071992778154,-15.537661014918683,-16.631447252141864
ACADM,2328,2648,1511,1519,2484,2488.0,1515.0,2484.0,0.0705735519373688,0.04063296231728577,0.14014895057549087,-15.10317802593851,-15.89965510093377
ACADS,856,316,768,565,74,586.0,666.5,74.0,0.016622227264991206,0.017875821375888428,0.0041751297675468296,-12.120195849055333,-12.015300021613578
ACADSB,1357,1771,672,766,1282,1564.0,719.0,1282.0,0.04436376014069326,0.019283894327477537,0.0723313021891221,-14.818655087160021,-16.020640307253046
ACADVL,15993,11879,13747,11422,11228,13936.0,12584.5,11228.0,0.3953026606909854,0.3375217916052032,0.6334913112164297,-14.79378377776229,-15.021760792715405
ACAN,0,0,0,1,0,0.0,0.5,0.0,0.0,1.341021858656296e-05,0.0,0,inf
ACAP1,191,62,187,125,41,126.5,156.0,41.0,0.0035882453054972485,0.004183988199007644,0.002313247573911081,-13.480057767772404,-13.258457506829437
ACAP2,2178,3514,1231,1453,2314,2846.0,1342.0,2314.0,0.08072842797980372,0.035993026686334986,0.13055743624464003,-14.806952540429638,-15.972311913980908
ACAP3,3014,2166,2516,2321,455,2590.0,2418.5,455.0,0.07346684064219663,0.06486522730320504,0.025671406003159557,-12.596485690360772,-12.776133633713798
ACAT1,2361,2344,2001,1454,3645,2352.5,1727.5,3645.0,0.06673001645203382,0.04633230521657503,0.20565335138794855,-15.737223429447031,-16.263540825012278
ACAT2,904,1015,655,658,1042,959.5,656.5,1042.0,0.027216769728257786,0.017607617004157167,0.05879034078086211,-15.224499903931758,-15.852796082459223
ACBD3,2381,2732,1807,1897,2635,2556.5,1852.0,2635.0,0.07251659386168946,0.04967144964462921,0.14866847212818776,-15.149132273686265,-15.695026584337944
ACBD4,419,203,372,278,119,311.0,325.0,119.0,0.0088216939921711,0.008716642081265925,0.006714060031595577,-13.71954633102597,-13.73682957646573
ACBD5,1569,1886,787,1063,1000,1727.5,925.0,1000.0,0.049001531741079025,0.024808904385141477,0.05642067253441661,-14.316813627235096,-15.298782450332014
ACBD6,961,686,805,533,1481,823.5,669.0,1481.0,0.023359051455154024,0.01794287246882124,0.083559016023471,-15.952230423411123,-16.33280124572099
ACBD7,804,952,414,380,654,878.0,397.0,654.0,0.024904975321949283,0.010647713557730991,0.036899119837508466,-14.680569033811356,-15.906459349428728
ACCS,1131,780,738,523,348,955.5,630.5,348.0,0.027103307426107677,0.016910285637655894,0.01963439404197698,-13.648330770719902,-14.328898656594111
ACCSL,0,0,1,1,1,0.0,1.0,1.0,0.0,2.682043717312592e-05,5.642067253441661e-05,inf,-15.186307721073602
ACD,521,341,505,362,188,431.0,433.5,188.0,0.01222556305667442,0.011626659514550088,0.010607086436470323,-13.90854413043717,-13.981008389529404
ACE,431,330,247,195,64,380.5,221.0,64.0,0.010793101492029273,0.005927316615260829,0.003610923042202663,-12.533746694345085,-13.39840516168217
ACE2,243,312,241,224,313,277.5,232.5,313.0,0.007871447211663924,0.006235751642751777,0.0176596705032724,-15.27917422354378,-15.615239662010827
ACER1,0,0,2,0,4,0.0,1.0,4.0,0.0,2.682043717312592e-05,0.00022568269013766644,inf,-17.1863077210736
ACER2,375,588,291,271,364,481.5,281.0,364.0,0.013658024621319566,0.007536542845648384,0.020537124802527645,-14.701901990203867,-15.559676041051372
ACER3,545,896,463,506,916,720.5,484.5,916.0,0.020437397174788676,0.012994501810379509,0.05168133604152562,-15.451848505770828,-16.105158653755467
ACHE,9,2,14,27,10,5.5,20.5,10.0,0.0001560106654564021,0.0005498189620490814,0.0005642067253441661,-15.967995814098696,-14.15068381134288
ACIN1,7145,5696,5220,5341,1713,6420.5,5280.5,1713.0,0.18212117773869632,0.14162531849269144,0.09664861205145565,-13.199338836871242,-13.562158330531503
ACKR1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ACKR2,126,96,75,91,65,111.0,83.0,65.0,0.00314857888466557,0.0022260962853694515,0.00366734371473708,-14.33345128452698,-14.833636102755131
ACKR3,1265,1198,737,1057,607,1231.5,897.0,607.0,0.03493220627446531,0.024057932144293952,0.03424734822839088,-14.084851131605351,-14.622896252410023
ACKR4,132,120,113,106,177,126.0,109.5,177.0,0.003574062517728485,0.0029368378704572886,0.00998645903859174,-15.595824964431712,-15.879126211555427
ACLY,4364,4628,2409,3217,3019,4496.0,2813.0,3019.0,0.12753162761672435,0.07544588976800322,0.17033401038140375,-14.53092805914133,-15.288268925272526
ACMSD,22,9,9,12,11,15.5,10.5,11.0,0.00043966642083167866,0.0002816145903178222,0.0006206273978785827,-14.610734646099052,-15.253421916932139
ACO1,901,1079,579,643,742,990.0,611.0,742.0,0.02808191978215238,0.01638728711277994,0.04186413902053712,-14.689489999502461,-15.466554527875676
ACO2,4029,3479,2569,2714,1180,3754.0,2641.5,1180.0,0.10648437056787882,0.07084618479281213,0.0665763935906116,-13.43585754726696,-14.02373717077044
ACOD1,0,2,0,0,1,1.0,0.0,1.0,2.8365575537527657e-05,0.0,5.642067253441661e-05,-15.105499337848629,inf
ACOT1,41,48,43,49,38,44.5,46.0,38.0,0.0012622681114199806,0.0012337401099637925,0.002143985556307831,-14.877693420325818,-14.910673278460173
ACOT11,233,238,134,140,27,235.5,137.0,27.0,0.006680093039087763,0.0036743998927182514,0.0015233581584292485,-11.980803590399317,-12.843163140276545
ACOT12,16,4,10,10,11,10.0,10.0,11.0,0.00028365575537527655,0.00026820437173125924,0.0006206273978785827,-15.243002861598566,-15.323811244823537
ACOT13,1196,966,1091,912,2318,1081.0,1001.5,2318.0,0.030663187156067397,0.02686066782888561,0.1307831189347777,-16.206013381120453,-16.397025866267366
ACOT2,539,316,295,269,173,427.5,282.0,173.0,0.012126283542293073,0.00756336328282151,0.009760776348454073,-13.800346955712095,-14.481384596311534
ACOT4,98,108,90,79,86,103.0,84.5,86.0,0.0029216542803653487,0.0022663269411291403,0.004852177837959828,-14.84526356536751,-15.211693039493516
ACOT6,10,5,1,2,2,7.5,1.5,2.0,0.00021274181653145743,4.0230655759688886e-05,0.00011284134506883322,-13.198608742240113,-15.601345220352446
ACOT7,643,485,470,454,356,564.0,462.0,356.0,0.0159981846031656,0.012391041973984177,0.020085759422252315,-14.441681416416236,-14.810292110623942
ACOT8,808,477,748,588,592,642.5,668.0,592.0,0.01822488228286152,0.017916052031648116,0.033401038140374636,-14.987400059396341,-15.0120567942285
ACOT9,1025,947,841,806,1318,986.0,823.5,1318.0,0.02796845748000227,0.022086630012069196,0.07436244640036109,-15.52419015647877,-15.8648175363553
ACOX1,2011,2473,1421,1424,2242,2242.0,1422.5,2242.0,0.06359562035513701,0.03815207187877162,0.12649514782216204,-15.105499337848629,-15.842665346685084
ACOX2,148,135,97,71,135,141.5,84.0,135.0,0.004013728938560163,0.0022529167225425776,0.007616790792146243,-15.03765669206758,-15.870805895345674
ACOX3,1789,1567,1340,1144,1026,1678.0,1242.0,1026.0,0.04759743575197141,0.03331098296902239,0.05788761002031144,-14.395787353015862,-14.910673278460173
ACOXL,185,97,108,77,86,141.0,92.5,86.0,0.0039995461507914,0.0024808904385141477,0.004852177837959828,-14.392212740151935,-15.081191015259389
ACP1,3032,3032,2285,2018,3136,3032.0,2151.5,3136.0,0.08600442502978385,0.05770417057798042,0.1769352290679305,-15.154155143792748,-15.7298904402405
ACP2,1440,1029,1300,1093,790,1234.5,1196.5,790.0,0.035017303001077894,0.032090653077645165,0.04457233130218912,-14.461497059770315,-14.587411882599568
ACP4,6,2,2,5,1,4.0,3.5,1.0,0.00011346230215011063,9.387153010594072e-05,5.642067253441661e-05,-13.10549933784863,-13.378952799015996
ACP5,479,289,409,378,137,384.0,393.5,137.0,0.01089238100641062,0.01055384202762505,0.007729632137215075,-13.618568920088002,-13.664119978526644
ACP6,1074,839,921,730,1656,956.5,825.5,1656.0,0.027131673001645203,0.022140270886415448,0.09343263371699391,-15.897365137001843,-16.190670273659666
ACP7,90,49,57,43,26,69.5,50.0,26.0,0.0019714074998581723,0.0013410218586562962,0.001466937485894832,-13.686997983266215,-14.242891249439971
ACPP,252,351,207,186,218,301.5,196.5,218.0,0.008552221024564589,0.005270215904519243,0.012299706612502822,-14.637669470725472,-15.336106543591923
ACR,6,2,5,4,5,4.0,4.5,5.0,0.00011346230215011063,0.00012069196727906664,0.00028210336267208303,-15.427427432735993,-15.338310814518652
ACRBP,68,42,49,57,29,55.0,53.0,29.0,0.0015601066545640212,0.0014214831701756738,0.0016361995034980816,-14.182120619451544,-14.316368261637974
ACRV1,4,6,4,4,3,5.0,4.0,3.0,0.00014182787768763828,0.00010728174869250368,0.00016926201760324982,-14.368533743682423,-14.771270221794758
ACSBG1,798,677,529,446,646,737.5,487.5,646.0,0.020919611958926648,0.013074963121898887,0.03644775445723313,-14.914390453405991,-15.592439667130552
