,ID_REF,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
8767,ENSG00000146013,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8768,ENSG00000146021,12,10,7,12,10,28,31,5,8,10,27,11,20,23,25,32,14
8769,ENSG00000146038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8770,ENSG00000146039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8771,ENSG00000146047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8772,ENSG00000146049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8773,ENSG00000146054,38,9,62,3,3,10,17,2,2,4,2,35,9,8,11,47,4
8774,ENSG00000146063,123,63,243,175,57,61,97,101,110,82,154,157,129,95,223,381,119
8775,ENSG00000146066,1775,1182,2593,1475,1286,1473,2662,1352,2077,1357,1341,2755,1147,1792,2189,4282,1030
8776,ENSG00000146067,289,244,443,574,272,315,540,475,419,430,432,803,587,453,645,1657,541
8777,ENSG00000146070,7,13,10,4,4,7,7,2,14,16,5,22,23,6,19,27,5
8778,ENSG00000146072,13,2,36,2,1,2,4,3,4,3,3,5,1,5,5,21,6
8779,ENSG00000146083,313,168,329,530,264,482,542,190,483,563,533,966,781,508,1138,1167,860
8780,ENSG00000146085,24,16,47,38,11,15,28,10,37,22,18,26,26,14,38,51,31
8781,ENSG00000146090,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8782,ENSG00000146094,725,842,908,1418,1198,1203,1488,2525,2208,1467,894,4817,1311,1403,2224,3493,2385
8783,ENSG00000146109,80,58,121,58,23,54,96,34,81,52,72,86,79,61,119,227,40
8784,ENSG00000146112,81,195,395,111,131,255,353,132,313,164,203,632,256,326,528,796,177
8785,ENSG00000146122,3,0,6,2,3,0,17,3,13,4,3,7,5,2,10,59,5
8786,ENSG00000146143,0,1,37,80,24,13,31,27,8,8,19,34,32,0,27,40,23
8787,ENSG00000146147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8788,ENSG00000146151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
8789,ENSG00000146166,0,0,0,0,1,1,1,1,1,0,1,2,0,0,1,3,1
8790,ENSG00000146192,141,152,240,200,139,269,380,126,324,228,526,642,383,235,446,1257,336
8791,ENSG00000146197,2,1,2,1,1,2,1,2,1,1,1,2,2,0,3,3,0
8792,ENSG00000146205,6,0,4,2,6,2,2,1,1,2,1,4,3,1,7,7,4
8793,ENSG00000146215,30,37,39,25,25,12,48,27,42,29,42,63,15,11,43,197,38
8794,ENSG00000146216,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8795,ENSG00000146221,4,0,5,2,0,1,2,0,1,2,0,1,1,0,1,2,0
8796,ENSG00000146223,192,119,336,186,83,128,178,160,181,115,209,200,178,86,213,354,117
8797,ENSG00000146232,12,17,54,58,15,19,31,79,14,7,53,84,40,40,6,137,52
8798,ENSG00000146233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8799,ENSG00000146242,43,0,99,0,0,0,0,0,0,0,0,2,1,0,0,111,2
8800,ENSG00000146243,15,3,15,3,5,7,20,22,6,24,16,19,15,13,16,26,11
8801,ENSG00000146247,35,29,47,55,13,26,49,24,48,32,37,73,49,20,74,105,45
8802,ENSG00000146250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8803,ENSG00000146263,10,5,28,15,5,5,10,11,10,7,5,35,8,6,27,20,12
8804,ENSG00000146267,4,0,6,0,0,0,0,3,0,0,0,1,0,0,0,2,2
8805,ENSG00000146276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8806,ENSG00000146278,2107,1210,2774,4414,692,1448,2220,1142,4636,1654,1360,2505,2000,2273,2238,1940,2465
8807,ENSG00000146281,21,10,24,19,4,12,28,6,14,12,21,27,22,6,36,42,20
8808,ENSG00000146282,77,50,147,64,18,45,65,22,44,42,50,89,60,41,118,168,71
8809,ENSG00000146285,58,84,51,96,54,125,172,54,86,73,140,221,188,91,146,451,90
8810,ENSG00000146350,11,12,31,8,2,5,16,5,28,9,15,8,10,4,38,45,10
8811,ENSG00000146352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8812,ENSG00000146360,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8813,ENSG00000146373,32,5,33,43,4,6,15,41,61,9,50,59,37,7,31,36,25
8814,ENSG00000146374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
8815,ENSG00000146376,12,24,18,15,5,12,13,7,20,10,8,24,19,10,26,58,15
8816,ENSG00000146378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8817,ENSG00000146383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8818,ENSG00000146385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8819,ENSG00000146386,355,329,514,160,81,190,346,127,225,143,222,405,273,148,455,590,216
8820,ENSG00000146399,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8821,ENSG00000146409,56,59,76,93,8,22,59,21,44,19,67,35,36,39,65,75,46
8822,ENSG00000146410,16,9,36,49,3,2,8,19,31,13,10,9,2,2,10,12,22
8823,ENSG00000146411,1,1,3,1,0,1,1,0,2,1,1,0,0,0,1,2,1
8824,ENSG00000146414,10,16,16,9,4,11,13,10,13,7,12,27,15,6,18,34,10
8825,ENSG00000146416,79,43,143,35,58,26,48,64,55,28,10,65,44,25,138,109,63
8826,ENSG00000146425,688,455,1056,300,230,243,482,304,499,338,303,505,460,271,816,1021,616
8827,ENSG00000146426,23,33,44,44,30,29,78,45,84,36,50,112,48,68,43,105,82
8828,ENSG00000146433,29,17,39,22,7,25,34,9,26,26,21,56,42,16,46,64,26
8829,ENSG00000146453,1,1,1,6,1,0,0,1,4,8,0,1,3,1,5,7,0
8830,ENSG00000146457,230,94,334,241,69,119,228,107,262,161,189,247,224,112,277,441,186
8831,ENSG00000146463,23,19,39,18,9,21,34,11,23,30,26,40,42,23,53,75,33
8832,ENSG00000146469,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0
8833,ENSG00000146476,58,36,60,33,14,38,97,19,65,35,60,73,77,26,116,95,69
8834,ENSG00000146477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
8835,ENSG00000146530,0,0,0,6,0,0,0,0,0,0,0,3,1,1,0,0,1
8836,ENSG00000146535,240,220,282,166,282,214,447,99,240,121,174,398,240,328,210,209,188
8837,ENSG00000146540,341,138,619,116,86,144,222,198,160,137,139,210,120,169,179,455,120
8838,ENSG00000146555,0,1,0,0,0,0,2,1,1,1,0,0,1,23,2,1,2
8839,ENSG00000146556,65,55,73,117,52,79,102,114,83,46,93,107,85,117,109,259,111
8840,ENSG00000146574,35,92,130,72,69,60,81,163,53,83,53,234,110,94,149,228,102
8841,ENSG00000146576,230,121,280,163,140,221,368,165,262,221,336,355,278,241,392,547,224
8842,ENSG00000146587,14,7,16,9,4,10,22,2,13,11,16,13,22,7,23,28,15
8843,ENSG00000146592,64,103,146,88,59,163,151,86,126,142,54,507,64,145,175,199,307
8844,ENSG00000146618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8845,ENSG00000146648,30,0,78,0,0,0,0,0,0,0,0,0,0,0,0,171,3
8846,ENSG00000146670,216,7,459,105,9,6,26,22,46,32,10,16,8,15,42,80,37
8847,ENSG00000146674,104,3,118,1,0,0,1,0,0,1,1,8,2,0,4,1406,1
8848,ENSG00000146676,32,23,45,27,11,25,49,10,30,19,32,57,59,16,65,68,36
8849,ENSG00000146677,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,4
8850,ENSG00000146678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8851,ENSG00000146700,4,1,2,1,0,0,4,4,5,1,4,3,6,2,4,11,0
8852,ENSG00000146701,583,332,1029,445,264,417,503,470,382,497,497,678,436,526,584,1333,509
8853,ENSG00000146707,69,23,103,36,18,26,38,46,35,19,27,39,28,36,27,133,50
8854,ENSG00000146722,0,1,4,0,3,3,8,1,2,3,5,15,5,5,11,14,3
8855,ENSG00000146729,143,150,178,76,43,105,185,47,108,86,148,188,133,86,205,286,120
8856,ENSG00000146731,371,210,568,302,103,165,326,195,315,216,245,411,293,210,481,555,306
8857,ENSG00000146733,49,4,121,44,17,30,83,18,47,26,38,44,45,17,38,84,47
8858,ENSG00000146755,1,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,1
8859,ENSG00000146757,20,9,20,14,4,10,25,6,20,13,18,16,17,10,18,32,17
8860,ENSG00000146776,44,21,50,41,18,31,53,47,29,48,46,62,66,24,67,120,33
8861,ENSG00000146802,19,28,20,31,12,26,56,7,44,18,53,39,53,16,43,61,20
8862,ENSG00000146809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8863,ENSG00000146826,161,141,220,203,166,190,397,158,217,209,331,596,308,305,503,1068,304
8864,ENSG00000146828,330,402,475,269,411,478,854,406,439,464,459,1437,935,557,967,920,678
8865,ENSG00000146830,36,33,87,80,16,52,67,28,71,44,40,136,54,41,71,101,49
8866,ENSG00000146833,74,43,105,77,31,78,142,39,88,70,85,124,145,75,131,171,83
8867,ENSG00000146834,250,125,424,261,160,157,246,219,357,155,165,341,197,194,242,734,210
8868,ENSG00000146839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8869,ENSG00000146842,28,25,38,78,10,36,62,13,41,35,38,69,76,16,50,92,46
8870,ENSG00000146856,10,3,9,8,11,19,44,5,2,3,18,7,16,4,16,31,10
8871,ENSG00000146858,7,4,9,4,2,4,7,7,6,8,0,3,19,3,3,23,11
8872,ENSG00000146859,241,384,370,493,414,338,456,562,837,424,296,1721,564,361,480,1278,379
8873,ENSG00000146872,146,104,170,149,65,84,207,92,173,141,145,250,178,114,203,353,160
8874,ENSG00000146904,31,51,62,69,53,47,178,84,98,61,143,149,87,109,164,351,104
8875,ENSG00000146909,34,15,72,28,10,27,38,10,51,20,34,51,53,27,35,99,20
8876,ENSG00000146910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8877,ENSG00000146918,63,5,136,87,7,8,15,15,31,82,7,13,7,51,148,33,22
8878,ENSG00000146926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8879,ENSG00000146938,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0
8880,ENSG00000146950,2,0,4,0,0,0,0,0,1,0,0,0,1,0,1,9,0
8881,ENSG00000146955,7,4,8,6,10,9,11,18,16,11,12,14,10,3,21,26,16
8882,ENSG00000146963,212,114,239,330,58,221,301,144,248,222,284,346,267,120,346,424,301
8883,ENSG00000146966,23,1,86,9,2,1,2,2,3,1,2,3,2,0,2,16,2
8884,ENSG00000147003,1,0,0,0,0,1,0,0,6,3,1,0,0,1,0,3,1
8885,ENSG00000147010,177,159,200,218,132,191,276,228,260,261,160,582,285,220,336,532,218
8886,ENSG00000147027,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8887,ENSG00000147036,4,2,4,6,1,1,1,2,7,2,1,1,3,1,2,5,2
8888,ENSG00000147041,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0
8889,ENSG00000147044,9,5,20,3,2,7,12,1,5,4,34,16,14,3,11,54,6
8890,ENSG00000147050,19,46,77,47,12,20,27,6,68,18,15,55,19,37,55,89,58
8891,ENSG00000147059,2,1,3,4,1,3,4,0,3,1,5,6,5,2,2,7,2
8892,ENSG00000147065,1217,664,1822,1207,899,1323,1885,1208,1843,1926,1028,2893,1989,1310,1797,3625,1969
8893,ENSG00000147081,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
8894,ENSG00000147082,0,0,0,1,0,1,10,0,0,1,0,0,1,0,1,5,2
8895,ENSG00000147099,11,9,38,17,7,5,6,4,16,10,19,9,20,7,10,30,16
8896,ENSG00000147100,24,0,39,0,0,0,0,0,0,0,0,0,0,0,0,5,2
8897,ENSG00000147113,2,2,2,3,2,1,2,3,2,2,2,7,6,1,3,99,2
8898,ENSG00000147117,1,0,1,1,0,0,1,0,1,1,2,1,1,1,3,1,0
8899,ENSG00000147118,21,12,22,21,8,12,27,9,28,15,25,32,35,11,25,46,21
8900,ENSG00000147119,33,32,46,10,11,25,27,8,27,25,20,87,27,38,52,37,19
8901,ENSG00000147121,30,21,35,42,13,30,50,14,19,25,36,48,37,17,67,107,39
8902,ENSG00000147123,1224,834,1839,1051,770,765,1582,1489,1269,944,1040,1464,1060,985,1553,3862,789
8903,ENSG00000147124,13,5,13,11,3,15,23,3,16,9,42,23,29,10,16,42,18
8904,ENSG00000147127,7,0,5,4,1,1,2,0,3,0,1,3,3,4,6,19,8
8905,ENSG00000147130,122,17,233,43,23,31,53,40,39,49,39,59,40,51,53,147,50
8906,ENSG00000147133,50,17,72,51,27,28,73,67,90,49,50,83,72,27,63,200,103
8907,ENSG00000147138,1,0,0,1,2,4,5,0,0,1,3,1,8,0,1,1,1
8908,ENSG00000147140,1222,692,2446,844,288,645,959,961,678,741,767,1575,758,600,1148,3179,1128
8909,ENSG00000147144,15,5,33,4,2,9,13,8,10,6,13,11,9,12,8,28,14
8910,ENSG00000147145,0,2,11,0,0,0,3,19,1,0,0,2,0,1,0,19,1
8911,ENSG00000147155,146,111,220,159,90,100,168,144,187,106,116,216,103,157,210,572,65
8912,ENSG00000147160,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
8913,ENSG00000147162,334,247,474,639,137,393,657,144,542,398,565,648,761,254,932,1008,777
8914,ENSG00000147164,108,51,187,22,12,32,52,22,58,26,32,75,47,31,48,143,46
8915,ENSG00000147166,7,3,10,9,2,2,2,1,12,0,0,1,7,2,2,36,1
8916,ENSG00000147168,944,1217,1231,1850,1696,1759,2492,3373,2008,1860,1413,3306,2278,1946,2381,6251,1760
8917,ENSG00000147174,30,18,38,97,14,7,21,30,102,20,12,16,29,9,23,41,35
8918,ENSG00000147180,6,1,2,3,1,1,6,0,2,2,7,2,7,2,7,8,5
8919,ENSG00000147183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
