,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10
C10orf71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024940.2,4,0,0,1,1,2,0,1,1,1,0,2,1,0,1,1,8
LRRN4CL,2,2,1,2,2,1,0,2,1,12,0,29,1,0,1,0,1
TIMM22,19,11,13,18,15,17,16,69,13,19,9,34,18,10,13,17,13
HIC1,1,12,2,12,4,16,8,10,2,8,2,10,0,8,7,1,12
PPFIA3,4,0,0,2,0,3,2,14,12,12,3,11,4,1,1,0,0
MAGEF1,36,24,38,43,45,33,69,135,26,91,24,159,27,16,34,37,21
UMODL1,4,0,6,4,1,4,1,2,3,1,1,2,1,0,0,9,2
OR7E8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD9L,60,38,40,211,69,32,52,94,66,47,22,60,63,17,28,59,19
UBE2U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006001.1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
PAWR,18,5,24,24,35,6,21,81,9,12,6,58,6,5,7,25,3
TGIF1,214,120,123,200,246,71,151,409,142,247,65,437,300,41,99,163,101
MIEF2,25,15,45,20,46,20,50,75,25,79,16,85,19,15,21,60,11
NAP1L5,5,8,22,7,10,4,9,22,7,12,3,18,11,14,12,28,19
CBX3P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL161742.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIM1K,4,8,0,12,4,1,0,31,1,5,0,0,17,4,9,4,12
CD19,128,43,199,125,53,101,105,651,104,62,55,106,57,77,72,85,69
ERICH5,0,0,0,0,1,0,0,1,0,9,0,1,1,0,0,0,0
OR2T8,88,0,11,12,6,13,36,1,4,16,33,26,491,0,1,0,19
NR2C2,66,41,53,84,73,25,91,79,73,28,14,55,21,12,47,44,28
GPR4,1,1,1,1,0,0,2,7,1,0,0,0,1,0,1,0,1
ACOT4,1,0,6,5,2,2,3,15,2,7,2,13,2,2,1,1,2
OLIG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAVIN1,7,10,6,7,8,4,5,250,19,413,3,681,4,6,4,8,7
OR2G3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIH2,658,361,337,447,451,265,491,528,289,489,161,601,740,211,333,442,237
RBM44,1,0,1,2,1,0,5,1,1,3,0,2,1,1,1,1,0
ZBTB33,42,25,42,51,58,24,73,91,50,34,42,43,49,12,42,60,24
OR2G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBED2,2,0,2,8,2,3,4,5,0,1,1,2,3,1,3,5,1
VCX2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IRX3,0,0,0,3,0,0,0,12,2,83,0,126,0,1,1,1,0
ST8SIA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPRM,0,3,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0
OR2B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A22,35,39,14,44,38,57,53,58,24,12,20,59,32,25,19,32,12
RABEP2,175,130,258,318,111,225,266,992,135,129,122,199,135,120,159,187,204
NHLH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATOX1,331,313,283,436,256,260,517,741,207,656,345,1233,164,193,159,312,346
FAM187B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBL1XR1,101,43,51,41,82,29,50,33,60,39,22,44,95,43,39,33,37
SAMD12,3,1,3,13,3,3,6,6,2,6,9,6,8,2,4,7,6
CD163,40,89,41,133,99,19,67,708,53,35,25,32,43,43,58,74,35
C18orf32,87,34,16,156,58,30,98,98,57,34,7,57,46,16,26,56,30
OR7E149P,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,0
GIMAP3P,0,0,21,1,8,1,3,5,2,0,9,4,0,2,2,17,0
PIDD1,45,50,68,125,46,76,97,259,53,91,55,227,78,34,47,99,38
ZNF491,3,2,4,10,3,1,20,5,8,8,3,6,10,3,22,10,1
RPLP2,63848,59272,66878,87011,81653,64703,78160,123739,37431,50138,60837,59354,54669,38667,46024,83941,62193
HASPIN,4,7,3,1,2,4,6,10,5,50,2,86,13,1,2,3,2
JUN,11,43,23,17,17,12,15,154,22,380,15,846,12,7,10,10,7
CSTF2T,55,35,53,88,82,54,104,138,57,59,37,93,43,28,54,77,22
PGBD5,0,1,0,4,1,0,0,1,0,0,0,1,1,0,0,1,1
C12orf54,7,0,0,2,5,0,0,9,0,0,0,0,4,3,0,0,6
GBA,391,397,141,495,324,255,509,1291,419,311,119,628,189,391,211,444,739
ACAD9,97,55,69,138,81,75,102,243,60,191,47,272,88,46,47,93,69
IL17RA,369,304,219,1030,407,183,551,644,603,213,138,239,281,222,257,368,396
PNPLA2,9572,9786,5744,8077,5078,5505,3965,6209,6838,5301,2035,4847,11762,6590,5770,4259,11450
MBOAT4,2,6,2,15,6,2,6,15,3,2,3,5,6,1,3,7,6
TEX44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AGTRAP,2144,1380,1033,2756,1706,1485,3372,3342,1227,1043,829,1603,735,1460,1349,2477,1608
CD163L1,0,1,0,0,1,1,5,9,0,0,0,8,0,1,0,0,0
SRRM3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
THAP5,55,47,55,78,94,26,116,106,83,43,22,52,88,21,43,88,25
DEFB114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRACR2B,33,4,10,62,46,61,171,45,59,42,7,59,35,36,20,21,96
SUMO4,5,5,1,5,8,1,8,20,4,7,4,7,7,3,4,6,4
MAGEB10,0,0,0,2,2,0,0,2,0,0,0,1,0,1,0,0,1
DNAJC28,4,3,1,1,4,1,0,4,3,2,1,6,5,2,1,0,0
OR4F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAALADL2,20,3,1,6,5,3,5,11,0,3,3,2,4,2,6,1,11
CD151,120,80,70,158,152,207,52,592,147,475,97,849,105,26,108,50,66
POLR2L,1180,941,1002,907,708,1078,1349,2258,821,1397,822,2169,1256,548,934,1249,1535
FAM20C,5,23,15,31,35,17,14,48,27,111,11,215,10,8,23,15,5
NECTIN3,0,1,0,3,0,1,3,199,2,7,0,12,2,0,0,2,0
SLC35G5,2,0,2,6,3,3,3,29,3,0,7,1,3,4,2,2,13
ANXA2R,5,8,7,11,13,3,20,10,8,5,5,3,5,5,5,7,4
TMEM94,129,246,173,313,226,151,257,769,219,157,91,358,139,64,149,211,142
FLII,501,447,436,932,590,378,755,1015,644,479,304,713,380,337,353,640,330
SOX12,34,25,37,45,38,32,41,145,29,55,24,74,30,18,21,36,41
HNRNPA0,29,27,33,51,41,24,55,104,39,82,32,149,21,11,30,48,15
FXNP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
YIPF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDKN2AIPNLP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYOZ1,2,0,0,24,0,0,0,1,0,0,0,3,0,0,0,27,0
AC112247.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177820,145,104,57,188,80,49,87,152,135,105,63,198,174,31,56,99,80
CHID1,587,532,468,435,356,305,528,688,384,420,268,755,721,539,353,550,504
PCDHB9,0,0,0,1,0,0,0,3,0,1,1,1,0,1,0,0,2
ZNF620,10,3,6,11,7,26,10,13,3,3,2,9,20,6,7,8,17
ZNF518A,42,15,21,38,59,26,32,157,17,52,37,20,22,13,39,44,63
TMEM187,22,26,41,41,13,21,48,86,18,41,23,91,36,31,29,24,16
CACYBPP2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
SVBP,823,354,641,130,414,237,361,307,503,1268,446,769,563,291,266,344,661
ZNF619,10,8,8,18,18,8,18,28,8,11,6,20,6,3,10,12,11
CCDC184,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
AP3S1,275,203,148,266,197,142,551,466,291,326,166,521,159,95,144,280,179
GRB2,692,557,426,1516,706,504,853,1129,643,449,453,604,403,339,436,650,417
ZBTB41,3,3,8,6,10,4,10,11,7,7,5,5,2,1,4,9,0
UBE2N,300,154,281,324,264,154,394,650,234,301,167,335,218,73,178,330,94
SPATA31C2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL6IP6,80,39,83,149,87,40,180,138,154,120,42,144,61,36,41,107,26
ZNF354C,3,2,6,5,10,3,8,8,5,7,3,7,5,1,4,10,1
CAPZA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAMDC4,14,13,9,23,19,19,30,91,14,9,6,17,17,16,14,18,15
