"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","A2M",2778.45157645066,-3.07363820382418,1.0556866213818,-2.91150625722723,0.00359690703079456,0.0507329869122148
"2","ABCC3",93.5923647837995,2.91258679524936,1.13102627738004,2.57517164145488,0.0100190353670291,0.0900130512535606
"3","ABCD4",63.1779439010566,-2.82965766114607,1.35446735458759,-2.08912946595723,0.0366960705521428,0.181014845209543
"4","ABCF1",168.08623450359,-2.47839069581134,1.0681442153027,-2.32027722502715,0.0203258853390281,0.132155664308601
"5","ABHD6",22.5721997945064,-4.53717512345951,1.98736549686881,-2.2830099096558,0.0224297846427414,0.13799271920965
"6","ABLIM1",187.980405674155,-3.47198036157939,1.11732782077033,-3.1073963227602,0.0018874317643037,0.0350929856808607
"7","ABLIM3",105.463651189645,-4.5542456627067,1.42342521629035,-3.19949766983594,0.00137667300068649,0.0292384377981472
"8","ABR",187.565037810463,-2.61604637070679,1.09434298598055,-2.3905177848449,0.0168246342628566,0.118825373528719
"9","ABT1",73.4680872345142,-2.47831794554809,1.21450624282544,-2.04059712347177,0.0412908883417479,0.190040999657796
"10","ABTB1",52.499160549446,-5.77600171493378,1.81377870110974,-3.1845129239856,0.00144997836045712,0.0300721539415354
"11","ACAD8",22.2999469647516,-4.5342807289679,1.87051702197984,-2.42407883792932,0.0153472733313289,0.113561790140335
"12","ACADVL",535.497352794709,-2.39305507776419,0.973791933490752,-2.45746036238543,0.0139923250831432,0.108241358562884
"13","ACE2",19.0586729769661,3.48317129133308,1.61234072076301,2.16031961884876,0.0307479352256598,0.163916809618482
"14","ACO2",47.0305752692697,-3.78016100684512,1.62728463035711,-2.3229869786305,0.0201798519670461,0.131772070946861
"15","ACP2",31.1483452805266,-5.02411448918016,1.8079235748521,-2.77894185299904,0.00545362864291396,0.0637942123152341
"16","ACSL1",1236.70473644503,3.22638819597667,0.968003334131658,3.33303417686147,0.000859043892104624,0.0212304711534877
"17","ACSS1",22.9862674078702,-4.57833092636284,1.86655631271637,-2.45282228838844,0.0141740343840193,0.10893141145891
"18","ACTB",52145.6388468885,2.97235482769032,0.842065578925562,3.52983770157535,0.000415814660233218,0.0125622197597987
"19","ACTL6A",28.7631916911742,-4.90646761066288,1.83153170359223,-2.67888762233256,0.00738671801091671,0.0769002332806437
"20","ACTR1B",77.3322582346501,-6.3478580537011,1.71011555263846,-3.71194685874137,0.000205671174527824,0.00767501094241506
"21","ACVR1",26.4791156773272,-4.78380434391699,1.85975828260158,-2.57227210045008,0.0101033450070502,0.0904351776897955
"22","ACVRL1",292.392400461462,-5.52471346247463,1.24491947957304,-4.43780786880239,9.08796826854142e-06,0.000621382501354852
"23","ADAM15",208.217929256011,-6.08977304304063,1.46442633937068,-4.15847002974397,3.20386257556731e-05,0.00175930236144364
"24","ADAMDEC1",57.8360085823317,3.57710341457961,1.4819003420469,2.41386233141607,0.0157844250767223,0.115264530427634
"25","ADAMTS1",718.835726518865,-3.2027708734326,1.13453740622359,-2.82297512260376,0.00475802634464357,0.0593962140194988
"26","ADAMTS13",27.680554355574,3.4231071653932,1.69747015042591,2.01659343731865,0.0437379584479853,0.194909418065154
"27","ADAMTS2",44.3874534087378,-5.54141901261612,1.75597805270418,-3.15574503000332,0.00160088736891356,0.0316533662980335
"28","ADAMTS3",77.8093696445836,3.05740417452361,1.35906669129224,2.24963513130952,0.0244721164298953,0.144568277549627
"29","ADAMTSL3",21.4572831042971,-4.46160155700531,2.00857860181525,-2.22127306990781,0.0263324717121636,0.149636211906439
"30","ADAMTSL5",45.1628860351934,4.20085462301657,1.86816499162803,2.24865289834797,0.0245345880841994,0.144727346114993
"31","ADCY3",32.5202063577353,-3.9936874866035,1.6741749773449,-2.38546600005762,0.0170574990311834,0.119560433024128
"32","ADCY4",148.634560720372,-4.13137931438513,1.33455466748305,-3.09569882377082,0.00196349685659663,0.0359367249235424
"33","ADCY5",26.8002827743867,-4.77199801163619,2.10058239439306,-2.27174997961221,0.0231016155923964,0.140204191035043
"34","ADCY6",46.8511747505676,-5.61960883461432,1.75251410341274,-3.20659835128918,0.00134314382893114,0.0289465916079348
"35","ADCYAP1",17.8779697724501,4.17394829403734,1.8228704530032,2.28976682745651,0.0220348371121833,0.13689022931382
"36","ADD1",299.282171095302,-2.46600283200483,1.16543700514824,-2.11594691185489,0.034349322956554,0.174865983028395
"37","ADH1B",243.449062095841,-3.22674563800028,1.36267030740215,-2.36795769341439,0.0178865810882987,0.123033838747282
"38","ADIPOR2",165.464116386284,-2.7965432443572,1.18974306794262,-2.35054384405295,0.0187459990336568,0.126144632388547
"39","ADIRF",455.954513760123,-2.24869382170753,1.07070620180034,-2.10019687746877,0.0357115259473207,0.178534446409662
"40","ADM2",9.59563121433848,4.58555460510936,2.17314485334337,2.1101007593003,0.0348496779120541,0.176328349921467
"41","ADM5",31.8480700812411,-5.03819226476412,1.95123279990011,-2.58205595202276,0.00982136605019546,0.0890392107784187
"42","ADNP2",47.9538071836913,-4.57881524666166,1.57071097662138,-2.91512271500818,0.00355548709141958,0.0504431756290022
"43","ADORA2A",83.7422422763821,-4.76032719753039,1.48299826934988,-3.20993442535658,0.00132765256398518,0.0288921188359649
"44","ADRA2A",35.558334375711,2.91548174041689,1.21637325758745,2.396864385361,0.0165360426234049,0.11790213727268
"45","AEBP2",23.3027250762935,-4.5988866115348,1.86085554697151,-2.47138291793759,0.0134591615906201,0.10567408276764
"46","AEN",135.889346467061,-3.66014361598079,1.29901401733276,-2.81763211723926,0.00483792062305757,0.059884565769283
"47","AFAP1L1",132.247859417751,-2.92601809697816,1.26011333598285,-2.32202772038433,0.0202314430551876,0.131869659061874
"48","AFF4",159.340721627899,-2.39823105909758,1.06868524481828,-2.24409485461303,0.0248262989594415,0.145524953745664
"49","AFG3L1P",20.6987629374383,-4.4246356072578,1.88805443174047,-2.34348943169982,0.0191043034722971,0.127730055006936
"50","AFG3L2",110.536898088837,-3.01144477556633,1.1589738125504,-2.59837171725169,0.0093667036217843,0.0865741895250636
"51","AFMID",19.1666369262552,-4.30912824821471,1.92317583352919,-2.24063144569943,0.0250499580622591,0.146350306253485
"52","AGAP3",72.8811563539689,-4.10537384543243,1.36530538222767,-3.00692716726421,0.00263902983494034,0.0436325088778435
"53","AGFG2",17.2215675778395,-4.14521400304334,2.00140110255049,-2.07115605050926,0.0383442152459459,0.184128678376318
"54","AGO1",26.5417437709715,-4.78808995933333,1.84656055034499,-2.59297749994647,0.00951489952309436,0.0873064113816052
"55","AGPAT2",47.8929818592051,-3.13482670627881,1.43247647509414,-2.18839664091014,0.0286407227578544,0.157353229542634
"56","AHNAK",1316.15032874684,-3.45702972523183,0.991479234118942,-3.48673941547939,0.00048894752083268,0.013973583936093
"57","AIF1L",79.4456930699448,-3.92692570902601,1.6125842850982,-2.43517547908318,0.0148845693589286,0.112115611987153
"58","AIM2",38.703358193647,4.31645096143804,1.31052952033839,3.29366938664877,0.000988887382288995,0.0233412660968792
"59","AIP",90.330067210256,-4.92859985187788,1.57292965504702,-3.1333886013679,0.00172800497655483,0.0331764433723334
"60","AK1",105.859727146094,-2.40850989583982,1.18409235144022,-2.03405578366446,0.0419459713858076,0.191849786484287
"61","AKAP1",32.8453404109706,-5.10032824917528,1.80745254766808,-2.82183244907623,0.00477501173283761,0.0593962140194988
"62","AKAP11",22.9241859167862,-3.47606154599856,1.66866635551907,-2.08313755143536,0.0372386873801489,0.181534318700468
"63","AKAP13",288.724390726626,-2.72790503810195,1.10372249416064,-2.47154973513199,0.0134528836982129,0.10567408276764
"64","AKAP17A",47.1166552806701,-5.62839385848315,1.74834321609531,-3.21927285596327,0.00128516133123823,0.0283571188469982
"65","AKR1B10",66.4476227543523,9.06166352486361,4.47992928780483,2.02272467771558,0.0431015411526746,0.193785055860553
"66","AKR1C2",61.9365388910706,2.29500200798622,1.12283272154421,2.04393937222451,0.0409595369350731,0.18958800518192
"67","AKT2",70.2903220208918,-2.63881244951403,1.3046745608197,-2.02258289443164,0.043116169250725,0.193785055860553
"68","ALAS1",77.2640300744634,-2.98340658318864,1.27896433582291,-2.33267378895993,0.0196652728824046,0.129906934285743
"69","ALDH3A1",137.03479657912,4.21225607151795,1.3176679158533,3.19675088149213,0.00138984903688575,0.0294004393072158
"70","ALKBH5",107.55954482111,-2.47968998890187,1.18459891528187,-2.09327389795207,0.0363247113297835,0.180313485092761
"71","ALOX5AP",6061.79539430706,6.17497758734289,0.838888887975132,7.36090044326101,1.82673772205932e-13,1.07554257657692e-10
"72","ALPK1",153.106991083254,3.15028812571385,0.996236322761093,3.16218958668637,0.00156587581613344,0.0313116073573248
"73","ALPL",846.171349515705,3.56708332513227,1.02328936547843,3.48589895045425,0.000490486244973257,0.013973583936093
"74","ALS2CL",74.3630836217013,-4.59539714447838,1.59066688919931,-2.88897516864235,0.00386499593498467,0.0531792285429406
"75","AMBRA1",23.9792098601099,-4.64087569487945,1.85614387944236,-2.50027799368317,0.0124095885237544,0.100856456422353
"76","AMER1",47.9606755829711,3.10743217692708,1.44072637555436,2.15685103684689,0.0310172730158531,0.164689909530066
"77","AMFR",68.6016465253154,-4.01542742608546,1.36730280369976,-2.93675067089761,0.00331670646403839,0.0485503523561862
"78","AMN",9.54536781567639,4.91211680375258,2.16813494606892,2.26559551224375,0.0234761601131709,0.140963368203618
"79","AMOTL1",158.53885084776,-2.99756930175016,1.16136394248477,-2.58107660492436,0.00984927235863357,0.089139699792313
"80","ANAPC11",92.9838298389314,-3.4091481209818,1.28553397116691,-2.6519315688618,0.00800327605249521,0.0802771043754244
"81","ANAPC2",26.0344745280534,-3.66301440779645,1.68504408665085,-2.17383891425474,0.0297172349237079,0.160544983716128
"82","ANGEL1",24.8599084903322,-3.59964292154362,1.64689448926266,-2.18571556648734,0.0288364213102432,0.157887054428866
"83","ANGPTL2",158.904228373268,-3.44113354068691,1.22866569949104,-2.80070774508669,0.00509906751217455,0.0619508288375545
"84","ANKDD1A",19.7686961538378,-4.35671742994627,1.90065563564027,-2.29221819473817,0.0218930555483715,0.136644642344901
"85","ANKRD10",199.074231832202,-2.51936846349516,1.06396210656804,-2.36791183439956,0.0178887982390357,0.123033838747282
"86","ANKRD11",41.2056931819157,-3.70987712266681,1.48347989309206,-2.50079366760691,0.0123915349506633,0.100856456422353
"87","ANKRD22",163.798230975245,5.47915279127858,1.01551087684001,5.39546440736135,6.83465407223037e-08,9.40696933214253e-06
"88","ANKRD29",19.1485560484458,-4.30810200293302,1.92064174519485,-2.24305340322381,0.0248933709802476,0.145756876048986
"89","ANKRD54",23.2078917420279,-4.59265857416987,1.86297228991037,-2.46523182284736,0.0136924630528832,0.106872070833391
"90","ANKS1A",63.4318518237957,-2.84333502102797,1.38168264877778,-2.05787850310138,0.0396017977879818,0.186816144794037
"91","ANKZF1",51.0830719180518,-4.03067807269829,1.4480460078362,-2.78352901143057,0.00537710533897927,0.0633888346857645
"92","ANO6",192.049177866364,-2.47439566431933,1.13982986444011,-2.17084649342361,0.029942778098887,0.161410764136319
"93","ANP32A",673.395384998161,2.3048456000383,0.86916414743146,2.65179552889928,0.00800650116293863,0.0802771043754244
"94","ANXA2R",106.012024433851,3.5821460179105,1.00037872355544,3.58078988843267,0.000342557046995286,0.0109680349971482
"95","ANXA6",345.559617368881,-2.63336848745037,1.04751213530988,-2.51392647271944,0.0119395323358873,0.0992432656437124
"96","AOC3",271.816830112484,-3.17696950717016,1.29570866014109,-2.45191654953068,0.0142097612145947,0.109126847356721
"97","AP1S2",212.359474610349,1.92098992978116,0.923027563263521,2.08118371133921,0.0374170938928386,0.182152669304687
"98","APBB1IP",115.629367387451,4.3956562785032,1.0204108029257,4.30773200940255,1.64937051302242e-05,0.00101628073819835
"99","APBB3",27.3138952405886,-3.73622444662304,1.66894837318957,-2.23866987537946,0.0251774040138582,0.146771247381116
"100","APC",17.902318345397,-4.21074179670822,1.92551415671529,-2.18681425011762,0.0287560867630297,0.15774172231604
"101","APH1A",186.599038116421,-3.34536026301605,1.17575125464695,-2.845295932957,0.00443701795747426,0.0569982015918936
"102","APOBEC3A",768.379320918787,7.08787775569938,1.09769781028048,6.45703916808243,1.06771270904643e-10,3.23303408299259e-08
"103","APOBR",53.5619430504164,2.32443473461076,1.14556776448047,2.0290678619653,0.0424513787561567,0.192437473049874
