"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","A2M",2778.45157645066,-3.07363628492335,1.05559997243124,-2.91174343046278,0.00359417725391958,0.0517890466762625
"2","ABCC13",18.1104302545436,3.78055640149679,1.87332934344839,2.01809490398395,0.043581378321307,0.196207836967162
"3","ABCC2",11.7320330188081,3.40166473878985,1.68767636099775,2.01559067686342,0.0438427954849465,0.196882965725205
"4","ABCC3",93.5923647837995,2.91336998388555,1.12707520855233,2.58489403526818,0.00974089292983829,0.0893689784368386
"5","ABCD4",63.1779439010566,-2.82816441727329,1.34905081188355,-2.09641059651756,0.0360457832055099,0.179996567997519
"6","ABCF1",168.08623450359,-2.47886514630168,1.07122909117973,-2.31403830115529,0.0206656212808064,0.13338863646097
"7","ABHD6",22.5721997945064,-4.53921682568094,1.96971357183021,-2.30450604118202,0.0211942536216009,0.134982557568625
"8","ABLIM1",187.980405674155,-3.47181682621203,1.12055746595582,-3.09829431483071,0.0019463802661532,0.0367469302802905
"9","ABLIM3",105.463651189645,-4.55713817519338,1.42003556909954,-3.20917185059183,0.00133117902123764,0.0297528238024429
"10","ABR",187.565037810463,-2.61489442148602,1.09623162078844,-2.38534847189076,0.0170629500516472,0.121119633834003
"11","ABT1",73.4680872345142,-2.47837796346804,1.21426829674668,-2.04104642286076,0.0412462130149855,0.191326670943862
"12","ABTB1",52.499160549446,-5.77689003222883,1.80646392913005,-3.19789946484613,0.0013843253275334,0.0300620425082607
"13","ACAD8",22.2999469647516,-4.53579918776678,1.8579553620024,-2.44128534007315,0.0146350860850268,0.111508777466952
"14","ACADVL",535.497352794709,-2.39404383334713,0.978429995696176,-2.44682178988566,0.0144122080193425,0.110620677556
"15","ACE2",19.0586729769661,3.48933568138591,1.5886688376859,2.19638958013968,0.0280640708302748,0.15673132097492
"16","ACO2",47.0305752692697,-3.79251767793852,1.61601887617768,-2.34682758589359,0.0189340139914264,0.12848855652793
"17","ACP2",31.1483452805266,-5.02515217280531,1.79948310444113,-2.79255312839737,0.00522938792834982,0.0634041077700036
"18","ACSL1",1236.70473644503,3.22631079622146,0.970862476169522,3.32313883316479,0.000890106024083158,0.0224793195987093
"19","ACSS1",22.9862674078702,-4.57981199482962,1.85427799728344,-2.46986266435731,0.0135164932551023,0.106874133522249
"20","ACTB",52145.6388468885,2.97235316803645,0.851073622439454,3.49247478674843,0.000478566773507278,0.0143556179218074
"21","ACTL6A",28.7631916911742,-4.90765078541945,1.82188914589856,-2.69371536488241,0.00706604788915626,0.07580071012155
"22","ACTR1B",77.3322582346501,-6.34805565515267,1.70852845013013,-3.71551065167757,0.000202793721690807,0.00795278236051932
"23","ACTR5",14.9316970332052,-3.94508638377944,1.96034425804932,-2.01244570568696,0.0441729745978932,0.197396297439486
"24","ACVR1",26.4791156773272,-4.78518020339563,1.84849702872222,-2.58868698680213,0.00963426246590518,0.0888410111627742
"25","ACVRL1",292.392400461462,-5.52538457180869,1.2480895787255,-4.42707371809882,9.55200946947108e-06,0.000659766537936499
"26","ADAM15",208.217929256011,-6.08980287161587,1.4621375888434,-4.16499987284582,3.11352738246189e-05,0.00176379647959715
"27","ADAMDEC1",57.8360085823317,3.5722321504783,1.46685289925659,2.4353036028962,0.0148792994666317,0.112577936459194
"28","ADAMTS1",718.835726518865,-3.20275931315427,1.13282319635702,-2.82723669806006,0.00469516091376056,0.0599122678697503
"29","ADAMTS13",27.680554355574,3.40802549668936,1.67247953771575,2.03770833653606,0.041579109981,0.191965625490588
"30","ADAMTS2",44.3874534087378,-5.54203543169457,1.7510082871554,-3.16505379920153,0.00155054278580912,0.03192329050937
"31","ADAMTS3",77.8093696445836,3.05364639371955,1.34750972470382,2.26614052406244,0.0234427807699977,0.141242368092785
"32","ADAMTSL3",21.4572831042971,-4.46375969534689,1.9897969362365,-2.24332423779365,0.0248759134898001,0.146250153663811
"33","ADAMTSL5",45.1628860351934,4.19456402719188,1.83798387441643,2.28215496641595,0.0224801927773471,0.137975600585084
"34","ADCY3",32.5202063577353,-3.99491608388737,1.66406502018687,-2.40069710944272,0.0163638750790052,0.118372734186371
"35","ADCY4",148.634560720372,-4.13053879615595,1.33153234334235,-3.10209422760821,0.00192156783060989,0.0364757184299813
"36","ADCY5",26.8002827743867,-4.77438820564383,2.07921299935546,-2.29624776640193,0.0216617188056577,0.135933255837824
"37","ADCY6",46.8511747505676,-5.62019084872585,1.74780585690276,-3.21556929594299,0.00130186059455587,0.0293750659735311
"38","ADCYAP1",17.8779697724501,4.14982917862751,1.79527655703501,2.31152641210955,0.0208037960093374,0.133889374385502
"39","ADD1",299.282171095302,-2.46504169413476,1.16242620256212,-2.12060059270991,0.0339554282165184,0.17527811691709
"40","ADH1B",243.449062095841,-3.22418248153247,1.35435072186019,-2.38061118844024,0.0172839440900049,0.121578124459653
"41","ADIPOR2",165.464116386284,-2.79585724408544,1.18789172203069,-2.35362970566538,0.0185911205960574,0.126936567028948
"42","ADIRF",455.954513760123,-2.24865323858597,1.07091748662416,-2.09974462708082,0.0357513115887186,0.179443760838641
"43","ADM2",9.59563121433848,4.56046236630128,2.13349676967318,2.13755297459385,0.032553041862867,0.170989516613714
"44","ADM5",31.8480700812411,-5.03990855939711,1.93657303666004,-2.60248824288565,0.00925499884504788,0.0868396298291697
"45","ADNP2",47.9538071836913,-4.57947724825468,1.56569690650676,-2.92488107322892,0.00344587886512335,0.0502470626493881
"46","ADORA2A",83.7422422763821,-4.76038523076791,1.4787929424544,-3.21910194057792,0.00128592761212595,0.0292295987588544
"47","ADRA2A",35.558334375711,2.91670490348034,1.20973962371394,2.41101874015332,0.0159080310242904,0.116779586144732
"48","AEBP2",23.3027250762935,-4.60033229547625,1.84891965884851,-2.48811908806319,0.0128420722855373,0.103842315626104
"49","AEN",135.889346467061,-3.65919908329547,1.29603597055398,-2.82337771977994,0.00475205493726727,0.060279028623677
"50","AFAP1L1",132.247859417751,-2.9246890867435,1.25630491928004,-2.32800894262164,0.0199116288215779,0.131294763923566
"51","AFF4",159.340721627899,-2.39762454297311,1.07174269568658,-2.23712701996737,0.0252780394512621,0.147641402272347
"52","AFG3L1P",20.6987629374383,-4.42628175290067,1.87436644930368,-2.36148153129022,0.0182020785379309,0.125885951438687
"53","AFG3L2",110.536898088837,-3.01099912787287,1.16131045773882,-2.59275984970941,0.0095209226951096,0.0880429182322774
"54","AFMID",19.1666369262552,-4.31095669769813,1.90773100035649,-2.25972985546314,0.0238380221699542,0.142690097271562
"55","AGAP3",72.8811563539689,-4.10525900377166,1.36389210501854,-3.00995877068726,0.00261283154543478,0.0442610356414948
"56","AGFG2",17.2215675778395,-4.14747915360719,1.98173830460545,-2.09284906284986,0.0363626304922862,0.180704904936742
